
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A12050012                        R9                                98   1   1   1   1 1      1 0 DISPLAY_CLK         409601
A12050012                        R9                                98   1   2   1   1 2      2 0 XSIG010281          761857
A12050012                        R10                              100   1   1   1   1 1      1 0 XSIG010278          757761
A12050012                        R10                              100   1   2   1   1 2      2 0 DISPLAY_KEY         753665
A12050012                        R11                               99   1   1   1   1 1      1 0 DISPLAY_MO          413697
A12050012                        R11                               99   1   2   1   1 2      2 0 XSIG010282          765953
A12050020                        R18                               63   1   1   1   1 1      1 0 XSIG010183          499713
A12050020                        R18                               63   1   2   1   1 2      2 0 VFAN                749569
A12050020                        R19                               65   1   1   1   1 1      1 0 XSIG010178          491521
A12050020                        R19                               65   1   2   1   1 2      2 0 XSIG010183          499713
A12050020                        R21                               67   1   1   1   1 1      1 0 FAN_GND             720897
A12050020                        R21                               67   1   2   1   1 2      2 0 XSIG010180          495617
A12050020                        R36                               64   1   1   1   1 1      1 0 XSIG010172          475137
A12050020                        R36                               64   1   2   1   1 2      2 0 VFAN                749569
A12050020                        R37                               66   1   1   1   1 1      1 0 XSIG010167          466945
A12050020                        R37                               66   1   2   1   1 2      2 0 XSIG010172          475137
A12050020                        R40                               68   1   1   1   1 1      1 0 FAN_GND             720897
A12050020                        R40                               68   1   2   1   1 2      2 0 XSIG010169          471041
A12050026                        R13                               59   1   1   1   1 1      1 0 FAN2_BAD_DSP        741377
A12050026                        R13                               59   1   2   1   1 2      2 0 XSIG010287          782337
A12050026                        R16                               60   1   1   1   1 1      1 0 FAN1_BAD_DSP        733185
A12050026                        R16                               60   1   2   1   1 2      2 0 XSIG010284          774145
A12050026                        R20                               61   1   1   1   1 1      1 0 XSIG010180          495617
A12050026                        R20                               61   1   2   1   1 2      2 0 XSIG010194          520193
A12050026                        R39                               62   1   1   1   1 1      1 0 XSIG010169          471041
A12050026                        R39                               62   1   2   1   1 2      2 0 XSIG010193          516097
A12050038                        R1                                27   1   1   1   1 1      1 0 XSIG010009          28673
A12050038                        R1                                27   1   2   1   1 2      2 0 H                   614401
A12050038                        R2                                30   1   1   1   1 1      1 0 XSIG010044          139265
A12050038                        R2                                30   1   2   1   1 2      2 0 E                   286721
A12050038                        R3                                29   1   1   1   1 1      1 0 XSIG010045          143361
A12050038                        R3                                29   1   2   1   1 2      2 0 F                   290817
A12050038                        R4                                28   1   1   1   1 1      1 0 XSIG010046          147457
A12050038                        R4                                28   1   2   1   1 2      2 0 G                   294913
A12050038                        R5                                34   1   1   1   1 1      1 0 XSIG010040          122881
A12050038                        R5                                34   1   2   1   1 2      2 0 A                   270337
A12050038                        R6                                33   1   1   1   1 1      1 0 XSIG010041          126977
A12050038                        R6                                33   1   2   1   1 2      2 0 B                   274433
A12050038                        R7                                32   1   1   1   1 1      1 0 XSIG010042          131073
A12050038                        R7                                32   1   2   1   1 2      2 0 C                   278529
A12050038                        R8                                31   1   1   1   1 1      1 0 XSIG010043          135169
A12050038                        R8                                31   1   2   1   1 2      2 0 D                   282625
A12050038                        R23                               36   1   1   1   1 1      1 0 G_LED               266241
A12050038                        R23                               36   1   2   1   1 2      2 0 XSIG010024          69633
A12050038                        R24                               35   1   1   1   1 1      1 0 B_LED               262145
A12050038                        R24                               35   1   2   1   1 2      2 0 XSIG010030          94209
A12050038                        R25                               37   1   1   1   1 1      1 0 R_LED               258049
A12050038                        R25                               37   1   2   1   1 2      2 0 XSIG010027          81921
A12050066                        R12                               13   1   1   1   1 1      1 0 +3.3V_DC            778241
A12050066                        R12                               13   1   2   1   1 2      2 0 XSIG010001          4097
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A12050066                        R29                               16   1   1   1   1 1      1 0 XSIG010089          323585
A12050066                        R29                               16   1   2   1   1 2      2 0 AGND                724993
A12050066                        R30                               14   1   1   1   1 1      1 0 XSIG010087          315393
A12050066                        R30                               14   1   2   1   1 2      2 0 AGND                724993
A12050066                        R31                               15   1   1   1   1 1      1 0 XSIG010088          319489
A12050066                        R31                               15   1   2   1   1 2      2 0 AGND                724993
A12050066                        R32                               10   1   1   1   1 1      1 0 COM1                49153
A12050066                        R32                               10   1   2   1   1 2      2 0 +3.3V_DC            778241
A12050066                        R33                               11   1   1   1   1 1      1 0 COM3                65537
A12050066                        R33                               11   1   2   1   1 2      2 0 +3.3V_DC            778241
A12050066                        R34                               12   1   1   1   1 1      1 0 COM2                57345
A12050066                        R34                               12   1   2   1   1 2      2 0 +3.3V_DC            778241
A12050076                        R22                               75   1   1   1   1 1      1 0 VFAN                749569
A12050076                        R22                               75   1   2   1   1 2      2 0 FAN2_BAD            700417
A12050076                        R38                               76   1   1   1   1 1      1 0 VFAN                749569
A12050076                        R38                               76   1   2   1   1 2      2 0 FAN1_BAD            696321
A12050087                        R14                               42   1   1   1   1 1      1 0 +3.3V_DC            778241
A12050087                        R14                               42   1   2   1   1 2      2 0 DISPLAY_KEY         753665
A12050087                        R15                               40   1   1   1   1 1      1 0 +3.3V_DC            778241
A12050087                        R15                               40   1   2   1   1 2      2 0 XSIG010287          782337
A12050087                        R17                               41   1   1   1   1 1      1 0 +3.3V_DC            778241
A12050087                        R17                               41   1   2   1   1 2      2 0 XSIG010284          774145
A12050503                        R26                               26   1   1   1   1 1      1 0 XSIG010070          245761
A12050503                        R26                               26   1   2   2   1 2      2 0 XSIG010089          323585
A12050503                        R27                               24   1   1   1   1 1      1 0 XSIG010072          253953
A12050503                        R27                               24   1   2   2   1 2      2 0 XSIG010087          315393
A12050503                        R28                               25   1   1   1   1 1      1 0 XSIG010071          249857
A12050503                        R28                               25   1   2   2   1 2      2 0 XSIG010088          319489
A12050505                        R35                               90   1   1   1   1 1      1 0 AGND                724993
A12050505                        R35                               90   1   2   2   1 2      2 0 E_TEMP              729089
