
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
00003                            TP1                              286   1   1   1   1 1      1 0 +3V3_ref_1          149164033
00003                            TP2                              285   1   1   1   1 1      1 0 -12V_1_1E           149020673
00003                            TP3                              283   1   1   1   1 1      1 0 VREF_5V             151052289
00003                            TP4                              282   1   1   1   1 1      1 0 +5V                 149266433
00003                            TP5                              281   1   1   1   1 1      1 0 REF1.5V             150089729
00003                            TP6                              284   1   1   1   1 1      1 0 +12V_1_1J           149192705
00003                            TP7                              280   1   1   1   1 1      1 0 +3.3V               153563137
07050048                         R442                             861   1   1   1   1 1      1 0 GND                 153853953
07050048                         R442                             861   1   2   2   1 2      2 0 TempAmbient         150966273
07090017                         R573                            1136   1   1   1   1 1      1 0 CANA_L              153456641
07090017                         R573                            1136   1   2   1   1 2      2 0 XSIG170383          153460737
07090017                         R574                            1135   1   1   1   1 1      1 0 CANB_L              153604097
07090017                         R574                            1135   1   2   1   1 2      2 0 XSIG170424          153600001
07090017                         R575                            1134   1   1   1   1 1      1 0 XSIG170458          153686017
07090017                         R575                            1134   1   2   1   1 2      2 0 UART1_485+          153669633
07090263                         R443                             868   1   1   1   1 1      1 0 XSIG170357          153391105
07090263                         R443                             868   1   2   1   1 2      2 0 CANA_RX             153411585
07090263                         R444                             862   1   1   1   1 1      1 0 XSIG180071          153780225
07090263                         R444                             862   1   2   1   1 2      2 0 GND                 153853953
07090263                         R445                             865   1   1   1   1 1      1 0 +5V_para_1          153698305
07090263                         R445                             865   1   2   1   1 2      2 0 XSIG170370          153427969
07090263                         R446                             864   1   1   1   1 1      1 0 GND_para_1          153743361
07090263                         R446                             864   1   2   1   1 2      2 0 XSIG170376          153448449
07090263                         R447                             867   1   1   1   1 1      1 0 XSIG090184          150990849
07090263                         R447                             867   1   2   1   1 2      2 0 Power_fault         151007233
07090263                         R448                             866   1   1   1   1 1      1 0 XSIG090187          151003137
07090263                         R448                             866   1   2   1   1 2      2 0 Power_fault         151007233
07090263                         R449                             869   1   1   1   1 1      1 0 XSIG090194          151023617
07090263                         R449                             869   1   2   1   1 2      2 0 Power_fault         151007233
07090263                         R450                             863   1   1   1   1 1      1 0 XSIG170356          153387009
07090263                         R450                             863   1   2   1   1 2      2 0 CANA_TX             153399297
07090264                         R581                            1173   1   1   1   1 1      1 0 XSIG180079          153800705
07090264                         R581                            1173   1   2   1   1 2      2 0 V_OSC               153841665
07090268                         R493                            1066   1   1   1   1 1      1 0 XSIG100389          151453697
07090268                         R493                            1066   1   2   1   1 2      2 0 XSIG100390          151457793
07090268                         R494                            1073   1   1   1   1 1      1 0 XSIG100364          151396353
07090268                         R494                            1073   1   2   1   1 2      2 0 XSIG100365          151400449
07090268                         R495                            1072   1   1   1   1 1      1 0 XSIG100367          151404545
07090268                         R495                            1072   1   2   1   1 2      2 0 XSIG100368          151408641
07090268                         R496                            1071   1   1   1   1 1      1 0 XSIG100370          151412737
07090268                         R496                            1071   1   2   1   1 2      2 0 XSIG100371          151416833
07090268                         R497                            1070   1   1   1   1 1      1 0 XSIG100374          151420929
07090268                         R497                            1070   1   2   1   1 2      2 0 XSIG100375          151425025
07090268                         R498                            1069   1   1   1   1 1      1 0 XSIG100378          151429121
07090268                         R498                            1069   1   2   1   1 2      2 0 XSIG100379          151433217
07090268                         R499                            1068   1   1   1   1 1      1 0 XSIG100381          151437313
07090268                         R499                            1068   1   2   1   1 2      2 0 XSIG100382          151441409
07090268                         R500                            1067   1   1   1   1 1      1 0 XSIG100385          151445505
07090268                         R500                            1067   1   2   1   1 2      2 0 XSIG100386          151449601
07090268                         R501                            1060   1   1   1   1 1      1 0 XSIG110206          151687169
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090268                         R501                            1060   1   2   1   1 2      2 0 XSIG110207          151691265
07090268                         R502                            1059   1   1   1   1 1      1 0 XSIG110224          151744513
07090268                         R502                            1059   1   2   1   1 2      2 0 XSIG110220          151736321
07090268                         R503                            1058   1   1   1   1 1      1 0 XSIG110231          151769089
07090268                         R503                            1058   1   2   1   1 2      2 0 XSIG110232          151773185
07090268                         R504                            1057   1   1   1   1 1      1 0 XSIG120169          151986177
07090268                         R504                            1057   1   2   1   1 2      2 0 XSIG120171          151990273
07090268                         R505                            1056   1   1   1   1 1      1 0 XSIG120173          151994369
07090268                         R505                            1056   1   2   1   1 2      2 0 XSIG120174          151998465
07090268                         R506                            1054   1   1   1   1 1      1 0 XSIG120179          152010753
07090268                         R506                            1054   1   2   1   1 2      2 0 XSIG120181          152014849
07090268                         R507                            1075   1   1   1   1 1      1 0 XSIG130291          152420353
07090268                         R507                            1075   1   2   1   1 2      2 0 XSIG130288          152412161
07090268                         R508                            1074   1   1   1   1 1      1 0 XSIG130297          152440833
07090268                         R508                            1074   1   2   1   1 2      2 0 XSIG130298          152444929
07090268                         R509                            1046   1   1   1   1 1      1 0 XSIG130320          152498177
07090268                         R509                            1046   1   2   1   1 2      2 0 XSIG130317          152489985
07090268                         R510                            1045   1   1   1   1 1      1 0 XSIG130327          152522753
07090268                         R510                            1045   1   2   1   1 2      2 0 XSIG130329          152526849
07090268                         R511                            1044   1   1   1   1 1      1 0 XSIG140240          152625153
07090268                         R511                            1044   1   2   1   1 2      2 0 XSIG140241          152629249
07090268                         R512                            1065   1   1   1   1 1      1 0 XSIG110175          151609345
07090268                         R512                            1065   1   2   1   1 2      2 0 XSIG110176          151613441
07090268                         R513                            1064   1   1   1   1 1      1 0 XSIG110178          151617537
07090268                         R513                            1064   1   2   1   1 2      2 0 XSIG110179          151621633
07090268                         R514                            1063   1   1   1   1 1      1 0 XSIG110182          151625729
07090268                         R514                            1063   1   2   1   1 2      2 0 XSIG110183          151629825
07090268                         R515                            1062   1   1   1   1 1      1 0 XSIG110186          151633921
